"EntityName_EN","Column_EN","CandidateRows","DistinctCandidateRows","ExactRows","HeuristicRows","NoMatchRows"
"ResourceConstraintScenarios","CreatedDate","34","34","34","0","0"
"ResourceConstraintScenarios","ModifiedDate","26","26","26","0","0"
"ResourceConstraintScenarios","AnalysisId","6","6","0","6","0"
"ResourceConstraintScenarios","AnalysisName","6","6","6","0","0"
"ResourceConstraintScenarios","ModifiedByResourceId","6","6","0","6","0"
"ResourceConstraintScenarios","ModifiedByResourceName","6","6","6","0","0"
"ResourceConstraintScenarios","CreatedByResourceId","5","5","0","5","0"
"ResourceConstraintScenarios","CreatedByResourceName","5","5","5","0","0"
"ResourceConstraintScenarios","ScenarioId","4","4","0","4","0"
"ResourceConstraintScenarios","ScenarioName","4","4","4","0","0"
"ResourceConstraintScenarios","CostConstraintScenarioId","2","2","0","2","0"
"ResourceConstraintScenarios","CostConstraintScenarioName","2","2","2","0","0"
"ResourceConstraintScenarios","ScenarioDescription","2","2","2","0","0"
