"ViewName","ViewLanguage","ColumnName","TotalRows","NonNullCount","EntityName_EN","Column_EN","Column_FR","MapStatus","PsseSourceSchema","PsseSourceObject","PsseColumnName","SourceExpression","FallbackExpression"
"PlanningsDeRéférenceTâche","FR","ChaîneDateDébutRéférenceTâche","35920","0","TaskBaselines","TaskBaselineStartDateString","ChaîneDateDébutRéférenceTâche","MAPPED","pjrep","MSP_EpmTaskBaseline","TaskBaselineStartDateString","src.[TaskBaselineStartDateString]",""
"PlanningsDeRéférenceTâche","FR","ChaîneDateFinRéférenceTâche","35920","0","TaskBaselines","TaskBaselineFinishDateString","ChaîneDateFinRéférenceTâche","MAPPED","pjrep","MSP_EpmTaskBaseline","TaskBaselineFinishDateString","src.[TaskBaselineFinishDateString]",""
"PlanningsDeRéférenceTâche","FR","ChaîneDuréeRéférenceTâche","35920","0","TaskBaselines","TaskBaselineDurationString","ChaîneDuréeRéférenceTâche","MAPPED","pjrep","MSP_EpmTaskBaseline","TaskBaselineDurationString","src.[TaskBaselineDurationString]",""
"PlanningsDeRéférenceTâche","FR","JeuDonnéesChronologiqueRéférenceTâche","35920","0","TaskBaselines","TaskBaselineTimephasedDataSet","JeuDonnéesChronologiqueRéférenceTâche","NAVIGATION","","","","",""
"PlanningsDeRéférenceTâche","FR","Projet","35920","0","TaskBaselines","Project","Projet","NAVIGATION","","","","",""
"PlanningsDeRéférenceTâche","FR","Tâche","35920","0","TaskBaselines","Task","Tâche","NAVIGATION","","","","",""
"TaskBaselines","EN","Project","35920","0","TaskBaselines","Project","Projet","NAVIGATION","","","","",""
"TaskBaselines","EN","Task","35920","0","TaskBaselines","Task","Tâche","NAVIGATION","","","","",""
"TaskBaselines","EN","TaskBaselineDurationString","35920","0","TaskBaselines","TaskBaselineDurationString","ChaîneDuréeRéférenceTâche","MAPPED","pjrep","MSP_EpmTaskBaseline","TaskBaselineDurationString","src.[TaskBaselineDurationString]",""
"TaskBaselines","EN","TaskBaselineFinishDateString","35920","0","TaskBaselines","TaskBaselineFinishDateString","ChaîneDateFinRéférenceTâche","MAPPED","pjrep","MSP_EpmTaskBaseline","TaskBaselineFinishDateString","src.[TaskBaselineFinishDateString]",""
"TaskBaselines","EN","TaskBaselineStartDateString","35920","0","TaskBaselines","TaskBaselineStartDateString","ChaîneDateDébutRéférenceTâche","MAPPED","pjrep","MSP_EpmTaskBaseline","TaskBaselineStartDateString","src.[TaskBaselineStartDateString]",""
"TaskBaselines","EN","TaskBaselineTimephasedDataSet","35920","0","TaskBaselines","TaskBaselineTimephasedDataSet","JeuDonnéesChronologiqueRéférenceTâche","NAVIGATION","","","","",""
